Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,39.2952194957571,40.488081671415,41.5104861685507,42.4628189810986,43.4929586741415,44.7040820390283,46.1315029255889,47.7305639800263,49.4280381705113,51.1147780534877,52.7120715007812,54.1971142358239,55.5959930153479
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,109.908284671533,109.21704379562,108.394781021898,107.566204379562,106.843759124088,106.314635036496,106.02901459854,105.854051094891,105.660291970803,105.441751824818,105.135145985401,104.967189781022,104.870693430657
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,13.9182799130048,14.1245484393763,14.3453827873739,14.5820316239388,14.8353224953185,15.1055341892902,15.3927145700202,15.6960402898721,16.0135581549623,16.3425424269652,16.680252672416,17.0259574932612,17.3777146120063
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,297.81,295.535,291.825,287.46,283.415,280.395,278.795,278.335,278.565,278.955,279.06,278.705,278.1
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,167.802127659574,172.325531914894,175.923404255319,178.429787234043,179.708510638298,179.678723404255,178.185106382979,175.376595744681,171.859574468085,168.53829787234,165.98085106383,164.46170212766,163.831914893617
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,15.5880340097858,16.1625900376995,16.7685593968076,17.4024496671212,18.0591008261811,18.7344557632149,19.427818240154,20.1395131146226,20.8677147669848,21.6104748536135,22.3665524985963,23.1350637683484,23.9165380604797
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,185.147727272727,187.963636363636,190.968181818182,194.084090909091,197.15,200.063636363636,202.847727272727,205.475,207.990909090909,210.368181818182,212.65,214.834090909091,216.877272727273
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,14.211668475421,14.3567148635761,14.5008367772747,14.6454877973026,14.7926100508278,14.904301546759,15.0771515955406,15.2495426957383,15.421160233713,15.5916453818299,15.7606327351655,15.9281350828921,16.0941907925267
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,104.716157358623,103.909624165789,103.007305936073,102.1291886196,101.443343870741,101.064945556726,101.03751317176,101.307657183,101.77674745346,102.297260273973,102.759149982438,103.131225851774,103.435511064278
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,555.727777777778,560.188888888889,562.344444444444,563.1,563.638888888889,564.827777777778,566.922222222222,569.777777777778,573.105555555556,576.522222222222,579.672222222222,582.622222222222,585.366666666667
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,2.65477786600367,2.69423219608711,2.71111516082423,2.76599455892116,2.82359449643987,2.86785858401781,2.90798641031983,2.95920036968095,3.01057352615753,3.05581479504836,3.10011259648803,3.14493553058884,3.19836141871706
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,99.6346451925406,100.128856866069,100.45638301005,100.771345840527,101.035665641397,101.287430158942,101.6417363772,102.114865434913,102.7471301857,103.563324191706,104.730792682674,105.869493435483,106.607445296677
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,101.522501814662,102.672529248009,103.853363762393,106.059760040326,108.291287895398,109.542349350317,110.976338851057,112.460792901473,113.92347542296,115.34881658409,116.731079539702,118.033288980283,119.197205757832
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,32.4534465534466,33.0702297702298,33.7051948051948,34.3337662337662,34.9254745254745,35.4587412587413,35.9217782217782,36.3220779220779,36.6801198801199,37.0262737262737,37.3832167832168,37.7553446553447,38.137962037962
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1201.57297297297,1295.15945945946,1381.22533333333,1466.63289473684,1559.31052631579,1628.42526206771,1666.42901024169,1688.23766233766,1707.82987012987,1732.91183714933,1763.30455808254,1832.63617490023,1920.40352364259
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1068.10712913882,1082.59327802105,1095.95433663671,1108.5823692095,1121.03247292003,1133.71306752708,1146.76022124914,1160.0814857494,1173.57821310594,1187.06435430591,1200.40159791042,1213.57332718752,1226.63127448721
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,642.611627906977,645.295348837209,648.139534883721,651.037209302326,653.73023255814,656.118604651163,658.109302325581,659.767441860465,661.153488372093,662.383720930233,663.544186046512,664.641860465116,665.658139534884
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,47.6453926933886,47.3382158698866,47.1215032035485,46.9590192212913,46.8729168721033,46.7746821094135,46.6865704006702,46.6438075994283,46.6516679260248,46.6786746775327,46.751941760932,46.8083514016087,46.792242075569
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,346.057364597094,348.347357992074,350.914795244386,353.697919418758,356.555250990753,359.827807133421,364.539762219287,366.807529722589,368.540521796565,370.180217965654,372.33143989432,374.221334214003,375.66571994716
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,12.4419114423498,12.7719859710653,13.1093818500658,13.4512494519947,13.7946076282332,14.1369574747918,14.477729066199,14.8180622533976,15.1562911003946,15.4917141604559,15.8234546251644,16.1508110477861,16.4738711091626
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,70.7895086910252,72.870672224193,74.9804274565449,77.1277137282724,79.325186236254,81.5826445548067,83.9023589925505,86.2827953174885,88.724618659099,91.2277580702377,93.7916991841078,96.4177633912735,99.1061014544165
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1188.03701605555,1194.8703492682,1201.62960840809,1208.7592379118,1215.48146001531,1205.99997870127,1195.62960851405,1199.96294177086,1203.72220096372,1206.27775647415,1208.12960829329,1195.46294185033,1182.85183096194
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,17.0196764779597,17.2471602807531,17.4430308921768,17.6197761786973,17.795813119851,17.9841805173895,18.1886824482827,18.4060395358324,18.6331035784084,18.8644439281988,19.0958367480163,19.3138899659506,19.5461414400175
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,8.52239084279516,8.67298624573064,8.82344595218314,8.97392596695283,9.12469399058433,9.27590695098311,9.427632234838,9.57968799039971,9.73172343764424,9.88324286901135,10.0339056586357,10.1835253392412,10.3321831440967
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,73.54162109375,73.5434375,73.4919140625,73.32560546875,72.9675390625,72.3725,71.50732421875,70.409609375,69.19150390625,68.00984375,66.97970703125,66.13802734375,65.45951171875
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,3.17448873361213,3.23947558802252,3.30926367053094,3.38016162899441,3.44696416282886,3.50626400578759,3.55619430769502,3.59880542762868,3.63936265946747,3.68537751663049,3.74202177403702,3.81123992024421,3.89096748010516
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,22.2689621135803,22.5130658256502,22.7479371008382,22.9752507136755,23.1973271565205,23.4159316546504,23.6313981340346,23.8434981945744,24.0527082580574,24.2594327206771,24.4637884744692,24.6661407920901,24.8660384966033
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,154.046666666667,160.153333333333,166.98,173.98,180.26,185.293333333333,188.793333333333,191,192.313333333333,193.26,194.346666666667,195.7,197.18
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,69.2815939278937,70.2586337760911,71.1508538899431,71.996394686907,72.8474383301708,73.7468690702087,74.703605313093,75.7094876660342,76.7402277039848,77.7550284629981,78.7299810246679,79.6584440227704,80.5451612903226
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,70.4986377025037,69.9716652858326,69.4718534204954,68.98592210662,68.5744565217391,68.1245302137067,67.6890935887988,67.2981577008106,66.922577376566,66.5432756079587,66.1200350036846,65.6579034635225,65.1800571112749
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,49.0567616959064,50.5452339181287,52.0907200292398,53.6905153508772,55.3402704678363,57.0366118421053,58.7789144736842,60.5674195906433,62.4004934210526,64.2763779239766,66.1938011695906,68.151966374269,70.1508918128655
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,286.793691588785,296.255802180685,306.160981308411,316.43699376947,327.01199376947,337.834968847352,348.847585669782,360.046261682243,371.506580996885,383.344898753894,395.639797507788,408.411137071651,421.61308411215
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,114.896277915633,116.41935483871,117.880893300248,119.315632754342,120.762034739454,122.246650124069,123.785607940447,125.368486352357,126.984615384615,128.602729528536,130.209181141439,131.798014888337,133.373945409429
